epsilon,method,track,checkpoint,progress,alpha,unsat_n,unsat_mean_s,unsat_median_s,sat_n,sat_mean_s,sat_median_s,overall_solver_n,overall_solver_mean_s,overall_solver_median_s
0.01,baseline,A,epoch_000,0%,—,0,,,—,,,—,,
0.01,baseline,A,epoch_018,25%,—,15,32.92,30.52,—,,,—,,
0.01,baseline,A,epoch_035,50%,—,15,33.26,30.21,—,,,—,,
0.01,baseline,A,epoch_052,75%,—,17,31.00,26.86,—,,,—,,
0.01,baseline,A,epoch_070,100%,—,17,31.35,30.28,—,,,—,,
0.01,baseline,B,epoch_000,0%,—,0,,,—,,,—,,
0.01,baseline,B,epoch_025,25%,—,14,26.01,24.92,—,,,—,,
0.01,baseline,B,epoch_050,50%,—,16,27.21,27.68,—,,,—,,
0.01,baseline,B,epoch_075,75%,—,18,26.55,27.25,—,,,—,,
0.01,baseline,B,epoch_100,100%,—,18,27.52,29.35,—,,,—,,
0.02,baseline,A,epoch_000,0%,—,0,,,—,,,—,,
0.02,baseline,A,epoch_018,25%,—,1,22.22,22.22,—,,,—,,
0.02,baseline,A,epoch_035,50%,—,3,29.41,29.81,—,,,—,,
0.02,baseline,A,epoch_052,75%,—,3,24.72,22.14,—,,,—,,
0.02,baseline,A,epoch_070,100%,—,3,27.78,30.06,—,,,—,,
0.02,baseline,B,epoch_000,0%,—,0,,,—,,,—,,
0.02,baseline,B,epoch_025,25%,—,0,,,—,,,—,,
0.02,baseline,B,epoch_050,50%,—,3,30.80,31.06,—,,,—,,
0.02,baseline,B,epoch_075,75%,—,4,28.47,30.52,—,,,—,,
0.02,baseline,B,epoch_100,100%,—,4,30.42,30.31,—,,,—,,
0.01,layer ablation,A,epoch_000,0%,0.95,21,40.10,7.65,0,,,35,280.66,82.25
0.01,layer ablation,A,epoch_000,0%,0.99,20,99.56,71.10,0,,,35,328.50,91.06
0.01,layer ablation,A,epoch_018,25%,0.95,129,45.03,8.63,0,,,140,88.79,8.78
0.01,layer ablation,A,epoch_018,25%,0.99,107,12.63,8.84,0,,,140,152.83,9.96
0.01,layer ablation,A,epoch_035,50%,0.95,129,21.09,7.40,0,,,140,66.73,7.65
0.01,layer ablation,A,epoch_035,50%,0.99,114,28.17,8.62,0,,,140,135.15,8.89
0.01,layer ablation,A,epoch_052,75%,0.95,132,14.94,6.86,0,,,140,48.57,6.96
0.01,layer ablation,A,epoch_052,75%,0.99,129,18.90,7.68,0,,,140,64.69,8.04
0.01,layer ablation,A,epoch_070,100%,0.95,131,10.98,7.12,0,,,140,49.14,7.24
0.01,layer ablation,A,epoch_070,100%,0.99,130,19.32,7.72,0,,,140,60.99,8.02
0.01,layer ablation,B,epoch_000,0%,0.95,21,59.34,11.50,0,,,35,300.04,145.66
0.01,layer ablation,B,epoch_000,0%,0.99,18,94.34,110.63,0,,,35,369.88,151.00
0.01,layer ablation,B,epoch_025,25%,0.95,119,32.42,10.90,0,,,140,119.84,11.54
0.01,layer ablation,B,epoch_025,25%,0.99,98,29.78,11.83,0,,,140,201.89,12.85
0.01,layer ablation,B,epoch_050,50%,0.95,128,18.92,9.64,0,,,140,69.29,10.02
0.01,layer ablation,B,epoch_050,50%,0.99,121,30.10,10.94,0,,,140,107.94,11.27
0.01,layer ablation,B,epoch_075,75%,0.95,140,13.30,9.12,0,,,140,13.30,9.12
0.01,layer ablation,B,epoch_075,75%,0.99,140,21.82,10.06,0,,,140,21.82,10.06
0.01,layer ablation,B,epoch_100,100%,0.95,140,12.98,9.30,0,,,140,12.98,9.30
0.01,layer ablation,B,epoch_100,100%,0.99,140,18.06,10.12,0,,,140,18.06,10.12
0.02,layer ablation,A,epoch_000,0%,0.95,0,,,0,,,35,634.71,622.05
0.02,layer ablation,A,epoch_000,0%,0.99,0,,,0,,,35,639.06,614.04
0.02,layer ablation,A,epoch_018,25%,0.95,8,59.20,8.77,0,,,140,573.08,602.19
0.02,layer ablation,A,epoch_018,25%,0.99,4,43.48,10.96,0,,,140,590.52,603.13
0.02,layer ablation,A,epoch_035,50%,0.95,29,82.36,10.90,0,,,138,494.28,601.29
0.02,layer ablation,A,epoch_035,50%,0.99,8,234.63,140.51,0,,,139,583.70,602.14
0.02,layer ablation,A,epoch_052,75%,0.95,38,85.59,10.36,0,,,140,463.70,600.99
0.02,layer ablation,A,epoch_052,75%,0.99,23,80.99,8.88,0,,,140,518.63,602.08
0.02,layer ablation,A,epoch_070,100%,0.95,42,61.43,9.20,0,,,140,442.41,601.53
0.02,layer ablation,A,epoch_070,100%,0.99,23,64.55,8.60,0,,,140,515.68,601.69
0.02,layer ablation,B,epoch_000,0%,0.95,0,,,0,,,35,653.50,634.12
0.02,layer ablation,B,epoch_000,0%,0.99,0,,,0,,,35,654.71,621.91
0.02,layer ablation,B,epoch_025,25%,0.95,6,226.61,170.36,0,,,140,590.89,602.30
0.02,layer ablation,B,epoch_025,25%,0.99,0,,,0,,,140,609.64,604.01
0.02,layer ablation,B,epoch_050,50%,0.95,39,70.17,11.91,0,,,140,458.19,602.10
0.02,layer ablation,B,epoch_050,50%,0.99,23,66.53,12.99,0,,,140,518.27,602.99
0.02,layer ablation,B,epoch_075,75%,0.95,56,112.63,13.25,0,,,140,409.16,601.36
0.02,layer ablation,B,epoch_075,75%,0.99,30,110.76,13.26,0,,,140,498.46,601.84
0.02,layer ablation,B,epoch_100,100%,0.95,54,112.23,12.68,0,,,140,415.33,601.48
0.02,layer ablation,B,epoch_100,100%,0.99,36,50.02,17.66,0,,,140,462.69,602.21
