method,alpha,epsilon,mean_verified_pct,mean_genuine_verified_pct,total_timeout,total_semantic_unresolved,alpha_label
Baseline,,0.01,81.25,81.25,30,0,
Implication L4L5,0.95,0.01,88.75,68.75,18,29,0.95
Implication L4L5,0.99,0.01,86.25,73.75,22,19,0.99
Implication L4L5+L5L6,0.95,0.01,91.25,61.875,14,43,0.95
Implication L4L5+L5L6,0.99,0.01,88.75,68.125,18,33,0.99
Unary ON/OFF,0.95,0.01,99.375,46.25,1,27,0.95
Unary ON/OFF,0.99,0.01,93.125,68.75,11,36,0.99
Baseline,,0.02,13.125,13.125,136,0,
Implication L4L5,0.95,0.02,13.75,12.5,138,2,0.95
Implication L4L5,0.99,0.02,12.5,12.5,140,0,0.99
Implication L4L5+L5L6,0.95,0.02,14.375,10.0,137,7,0.95
Implication L4L5+L5L6,0.99,0.02,13.125,13.125,139,0,0.99
Unary ON/OFF,0.95,0.02,72.5,53.125,44,9,0.95
Unary ON/OFF,0.99,0.02,35.0,35.0,103,0,0.99
