method,alpha,epsilon,progress_pct,rejection_rate,n_timeout,alpha_label
Implication L4L5,0.95,0.01,0,0.0,2.5,0.95
Implication L4L5,0.99,0.01,0,0.0,0.0,0.99
Implication L4L5+L5L6,0.95,0.01,0,0.0,1.0,0.95
Implication L4L5+L5L6,0.99,0.01,0,0.0,0.0,0.99
Unary ON/OFF,0.95,0.01,0,40.0,4.0,0.95
Unary ON/OFF,0.99,0.01,0,0.0,3.0,0.99
Implication L4L5,0.95,0.01,25,75.0,2.5,0.95
Implication L4L5,0.99,0.01,25,60.0,4.0,0.99
Implication L4L5+L5L6,0.95,0.01,25,80.0,2.0,0.95
Implication L4L5+L5L6,0.99,0.01,25,70.0,3.0,0.99
Unary ON/OFF,0.95,0.01,25,100.0,0.0,0.95
Unary ON/OFF,0.99,0.01,25,85.0,1.5,0.99
Implication L4L5,0.95,0.01,50,75.0,2.5,0.95
Implication L4L5,0.99,0.01,50,70.0,3.0,0.99
Implication L4L5+L5L6,0.95,0.01,50,75.0,2.5,0.95
Implication L4L5+L5L6,0.99,0.01,50,70.0,3.0,0.99
Unary ON/OFF,0.95,0.01,50,100.0,0.0,0.95
Unary ON/OFF,0.99,0.01,50,95.0,0.5,0.99
Implication L4L5,0.95,0.01,75,55.0,4.0,0.95
Implication L4L5,0.99,0.01,75,50.0,5.0,0.99
Implication L4L5+L5L6,0.95,0.01,75,55.0,4.5,0.95
Implication L4L5+L5L6,0.99,0.01,75,50.0,5.0,0.99
Unary ON/OFF,0.95,0.01,75,100.0,0.0,0.95
Unary ON/OFF,0.99,0.01,75,100.0,0.0,0.99
Implication L4L5,0.95,0.01,100,55.0,4.5,0.95
Implication L4L5,0.99,0.01,100,45.0,5.0,0.99
Implication L4L5+L5L6,0.95,0.01,100,55.0,4.5,0.95
Implication L4L5+L5L6,0.99,0.01,100,45.0,5.5,0.99
Unary ON/OFF,0.95,0.01,100,100.0,0.0,0.95
Unary ON/OFF,0.99,0.01,100,100.0,0.0,0.99
Implication L4L5,0.95,0.02,0,0.0,3.5,0.95
Implication L4L5,0.99,0.02,0,0.0,2.0,0.99
Implication L4L5+L5L6,0.95,0.02,0,0.0,3.5,0.95
Implication L4L5+L5L6,0.99,0.02,0,0.0,1.5,0.99
Unary ON/OFF,0.95,0.02,0,20.0,3.0,0.95
Unary ON/OFF,0.99,0.02,0,0.0,0.5,0.99
Implication L4L5,0.95,0.02,25,5.0,9.5,0.95
Implication L4L5,0.99,0.02,25,0.0,10.0,0.99
Implication L4L5+L5L6,0.95,0.02,25,5.0,9.5,0.95
Implication L4L5+L5L6,0.99,0.02,25,0.0,10.0,0.99
Unary ON/OFF,0.95,0.02,25,80.0,2.0,0.95
Unary ON/OFF,0.99,0.02,25,35.0,5.5,0.99
Implication L4L5,0.95,0.02,50,0.0,10.0,0.95
Implication L4L5,0.99,0.02,50,0.0,10.0,0.99
Implication L4L5+L5L6,0.95,0.02,50,0.0,10.0,0.95
Implication L4L5+L5L6,0.99,0.02,50,0.0,10.0,0.99
Unary ON/OFF,0.95,0.02,50,95.0,0.5,0.95
Unary ON/OFF,0.99,0.02,50,25.0,7.5,0.99
Implication L4L5,0.95,0.02,75,0.0,10.0,0.95
Implication L4L5,0.99,0.02,75,0.0,10.0,0.99
Implication L4L5+L5L6,0.95,0.02,75,0.0,10.0,0.95
Implication L4L5+L5L6,0.99,0.02,75,0.0,10.0,0.99
Unary ON/OFF,0.95,0.02,75,95.0,0.5,0.95
Unary ON/OFF,0.99,0.02,75,35.0,6.0,0.99
Implication L4L5,0.95,0.02,100,0.0,10.0,0.95
Implication L4L5,0.99,0.02,100,0.0,10.0,0.99
Implication L4L5+L5L6,0.95,0.02,100,0.0,10.0,0.95
Implication L4L5+L5L6,0.99,0.02,100,0.0,10.0,0.99
Unary ON/OFF,0.95,0.02,100,95.0,0.5,0.95
Unary ON/OFF,0.99,0.02,100,30.0,6.5,0.99
